size, quality, price
1.1,5,5169
0.83,5,3470
0.85,5,3183
0.91,5,4370
0.83,5,3171
1.53,5,12791
1.0,4,5747
1.5,1,10450
2.11,5,18609
1.05,4,7666
0.91,5,6224
1.01,3,5161
0.92,3,3679
2.51,4,34361
1.5,4,11004
2.2,5,22241
1.52,5,17659
1.28,4,6726
1.01,3,4238
0.9,4,3624
2.6,5,37621
0.8,4,3559
1.07,4,4829
2.02,3,19756
2.16,5,44121
2.03,3,23726
2.02,4,14839
1.01,4,5010
2.41,4,27337
0.9,3,3485
0.92,5,4025
1.01,5,9735
2.04,4,41867
1.56,5,14957
0.77,2,3321
2.01,4,18023
2.05,4,19976
1.01,4,6257
1.01,4,5534
0.86,5,4228
1.01,3,4905
2.29,4,34657
1.28,5,10958
2.12,5,33667
0.9,5,4921
1.44,5,10768
2.28,5,73209
1.01,2,12996
2.29,5,27097
0.8,5,3817
1.06,2,9645
1.62,5,18281
0.83,5,4024
1.58,5,16625
0.91,4,4546
1.01,1,5628
1.13,5,9653
2.0,3,14321
0.83,4,3249
0.92,4,4286
1.25,5,11089
1.23,2,10859
1.51,3,12487
1.21,2,12111
1.02,4,6001
0.75,4,2734
0.78,4,2694
2.02,5,32060
0.9,3,4147
1.01,5,8860
1.02,5,6264
1.14,4,5640
1.5,4,10019
1.3,4,7018
1.01,4,18187
2.17,5,30156
0.9,5,4260
1.0,3,4864
2.24,5,40445
1.59,5,13839
1.02,5,5835
1.02,4,4932
2.1,2,26278
0.91,1,4036
1.62,4,12202
1.1,5,6387
0.91,4,4188
1.2,3,5818
0.9,4,4442
1.04,4,5369
1.66,5,13330
0.77,4,3643
1.63,4,9199
1.32,5,8014
1.71,4,17768
1.02,5,5590
1.04,5,6809
1.01,5,7411
1.2,4,9320
2.0,3,15438
1.01,4,4133
1.0,4,8638
0.9,5,3455
1.38,5,12684
1.0,4,4739
1.13,4,9947
0.79,5,2888
1.54,5,9998
0.81,4,2701
1.15,5,10555
1.51,4,13324
1.2,5,5476
1.1,4,5276
1.31,4,6885
1.03,5,6981
1.1,4,4545
1.01,4,9782
1.01,4,5224
1.01,4,6714
1.57,5,14283
1.01,3,4563
1.0,5,7370
1.21,4,7597
0.93,4,5140
1.78,4,16697
2.25,5,32691
0.93,4,5862
0.9,4,4064
1.01,4,4682
1.14,3,5487
1.05,4,7010
1.6,5,15000
1.01,3,4989
1.01,1,5122
0.75,4,3551
1.01,4,5731
2.03,4,15101
0.83,3,3422
1.02,4,6366
2.12,5,21846
2.04,5,16718
0.75,5,2782
2.17,5,22930
1.0,1,6627
1.0,3,5408
1.26,4,11255
1.31,5,7751
1.51,4,11923
1.02,4,5839
1.01,5,10503
0.91,5,4374
0.79,5,2712
0.79,3,2548
1.02,4,5667
2.02,4,17658
1.06,5,4745
1.01,4,7835
0.9,4,4729
2.15,4,27558
2.2,4,27535
1.22,5,10422
1.0,1,7553
0.8,4,2670
2.19,4,29635
1.32,5,16099
1.51,3,11056
1.01,3,5233
2.74,5,24089
1.02,4,8800
2.04,5,20045
1.02,5,7038
1.02,4,8252
2.08,5,18760
1.02,4,9246
1.06,5,5870
1.5,4,12751
1.57,4,21167
2.34,4,57208
1.2,5,6303
1.01,4,5619
1.32,5,11079
1.15,4,5831
0.91,4,4585
1.14,5,4894
1.13,5,7385
2.08,5,32149
0.9,3,7214
0.75,5,2501
2.66,5,96493
1.56,5,13543
1.02,4,8013
1.02,5,5795
1.53,4,15008
1.07,4,11019
1.2,4,6076
0.9,1,3842
1.23,5,13274
1.01,5,11442
1.06,2,10927
1.04,5,6769
1.51,5,12947
1.22,4,6350
0.9,4,4265
1.02,5,6622
0.8,4,3144
1.57,5,17548
2.08,4,30210
0.9,4,4671
1.5,5,12055
2.01,4,18149
1.28,5,7415
1.52,4,12877
1.0,3,4702
2.37,5,28063
2.02,3,29334
1.21,5,11045
1.54,3,10669
1.5,4,9706
0.78,4,4904
2.2,4,19671
1.14,5,9948
1.33,5,12345
1.04,5,11367
2.0,4,15381
0.9,4,5423
1.51,1,8681
1.23,4,10477
1.53,5,8971
1.04,4,5290
1.2,4,5630
2.13,5,70114
0.9,3,4072
1.09,5,7978
1.27,5,13279
1.01,3,4884
1.13,4,9788
1.01,4,5041
2.21,5,30440
2.03,5,21437
2.01,4,15675
2.13,4,17601
1.5,3,10755
1.27,5,6396
1.07,5,11327
2.14,3,20853
1.01,4,4727
1.0,5,5312
1.52,4,12275
1.19,5,8034
1.03,5,7856
1.01,3,5078
0.9,4,4105
2.02,5,20885
1.22,4,8340
1.13,5,5759
1.01,5,5870
1.04,5,7044
0.76,4,3367
0.93,5,3772
0.9,5,4369
1.22,4,9919
1.16,4,5695
2.5,4,20894
1.71,3,11250
1.29,5,7036
1.03,5,6913
0.9,5,5656
2.32,4,47800
1.51,3,8951
2.01,3,34255
1.0,4,5528
1.29,5,8858
2.23,5,28811
1.2,4,9574
0.78,5,2622
1.0,1,4269
0.92,4,5044
1.05,3,4785
1.1,4,4938
1.23,4,10435
0.76,3,3121
1.21,5,7111
2.01,5,20296
1.02,4,6612
1.04,3,4768
0.76,5,3114
1.01,5,7870
1.51,5,13588
1.22,5,10409
2.02,4,28739
1.09,5,7992
0.91,4,5134
1.0,1,6268
0.9,4,3709
1.32,4,6793
2.01,3,18341
1.01,5,5020
1.09,2,7709
1.0,4,5247
0.91,4,4143
1.55,2,11574
1.25,5,10983
1.03,5,8277
0.77,5,3345
2.01,5,18252
0.78,5,3581
1.5,2,17176
1.7,4,11560
1.15,5,5529
0.84,5,2898
1.07,4,5586
1.5,5,14618
1.0,4,7872
1.01,3,5700
1.14,2,7079
1.28,5,12061
0.91,4,4680
1.22,5,8418
0.91,4,3998
1.01,4,5393
1.06,2,8093
1.26,5,10709
0.9,4,4920
0.92,2,4457
2.01,4,24784
1.0,4,7215
1.5,5,12187
1.2,4,6377
2.03,5,31773
2.07,4,16378
1.01,4,6914
0.79,4,4585
1.7,3,15087
0.83,4,3276
1.09,5,7227
0.9,3,3238
0.9,3,4508
1.33,5,7752
1.51,5,12913
1.0,4,5021
2.02,3,19829
0.81,4,3643
1.03,5,9192
0.75,5,3049
1.06,3,4828
0.86,5,4398
0.91,1,3884
1.01,3,5107
2.09,5,23602
1.23,4,11110
1.35,4,8644
1.25,5,12981
2.02,4,19442
1.01,4,5670
1.52,5,10239
1.53,4,9332
2.01,5,26659
1.08,5,5558
1.23,5,6183
1.23,4,9694
1.02,4,8538
1.02,4,9728
1.13,5,7808
2.43,5,30108
1.03,2,10607
0.8,4,3737
1.09,5,12185
1.0,4,6040
1.0,5,5887
1.33,2,15031
0.9,4,4173
1.05,5,7317
1.04,3,9038
1.04,4,8090
2.01,5,20934
1.51,3,8939
0.9,1,4958
1.12,5,7970
0.91,4,3963
1.05,5,7571
2.01,5,23217
0.9,1,3743
2.3,4,45752
0.85,4,4133
1.25,4,5956
1.59,5,9209
1.2,5,13165
1.21,4,9878
1.05,4,7794
1.06,5,7594
1.02,5,6645
1.01,4,8401
1.01,4,10019
0.82,5,3913
1.03,4,4997
0.9,4,3770
0.91,4,3633
1.51,1,8359
1.01,3,5541
1.12,5,8202
2.07,4,46229
1.01,1,5747
2.57,5,40652
1.23,4,9803
2.01,3,15743
2.01,3,27624
2.05,3,19436
1.55,5,15070
2.55,5,25387
1.01,5,7458
0.76,4,2593
1.01,3,5197
0.9,5,3724
1.01,4,5231
2.02,5,29641
2.15,3,23911
2.01,3,25793
1.8,4,17273
1.53,5,17223
1.02,4,4802
1.52,4,12596
1.25,5,9365
0.9,4,4981
2.01,5,15333
1.06,5,6062
0.76,5,4229
1.01,3,6081
2.47,4,36993
1.15,5,12447
2.11,5,21262
1.51,5,8504
1.08,2,7397
0.9,5,6237
2.02,4,20548
0.9,5,4931
1.55,1,10981
1.01,4,6561
2.39,4,34415
1.5,3,13061
0.75,2,3011
2.27,5,47741
1.51,4,12064
2.17,5,25707
1.71,4,10410
1.01,4,5680
1.01,3,5008
1.51,5,11696
1.64,5,10628
1.62,2,19661
0.88,5,4334
0.8,4,3831
1.08,5,6078
1.01,4,6491
2.01,5,26026
0.75,4,3365
0.91,1,4036
1.0,4,5491
1.01,3,7566
1.28,5,9372
2.03,4,30894
1.2,4,8983
2.25,4,33248
1.05,5,4925
0.9,5,4748
1.25,5,9503
0.96,5,6807
1.25,5,6562
1.05,5,5361
1.0,4,4961
1.0,3,6284
0.83,4,3002
2.04,4,15412
0.75,5,2523
1.53,2,21331
1.5,4,11096
2.04,4,28578
1.1,4,4583
0.92,3,3122
0.9,4,6924
1.2,2,16256
0.81,5,5752
1.09,5,11888
1.0,4,4095
1.5,3,10271
1.04,2,7951
1.04,5,6955
1.01,4,5696
2.13,5,19058
1.11,5,9315
2.07,5,20842
1.03,5,7726
1.3,5,8196
1.13,5,6133
0.76,5,3864
1.01,4,5622
0.83,4,3295
1.04,5,4484
1.75,5,18851
1.01,3,6132
0.79,5,2442
0.86,5,3122
2.56,5,24975
2.0,5,26049
0.77,1,3031
0.9,4,4239
1.02,4,5291
1.22,4,5979
2.37,4,25451
0.77,4,3124
1.0,3,5743
1.01,4,6936
1.03,4,5241
0.9,3,4579
1.16,5,9004
2.36,4,30867
1.22,4,8377
1.01,5,6734
1.06,4,5328
2.47,5,24667
2.24,5,20906
1.01,3,5073
1.01,1,4646
1.2,4,6809
1.66,5,16893
1.03,5,5181
0.94,3,3528
2.08,5,22434
0.9,3,3842
1.51,5,9090
1.5,4,9118
0.77,4,2986
1.71,5,39027
1.02,3,8215
1.51,3,9581
0.9,1,4034
1.7,4,15767
1.32,4,7389
0.91,4,4049
1.02,5,6845
1.0,4,5755
1.59,5,13600
2.02,3,17470
2.01,4,20940
2.01,4,19347
1.22,2,10572
2.01,3,35992
1.01,4,11042
0.9,5,4093
1.64,5,15458
1.01,4,5777
1.22,5,8014
1.52,5,11896
1.58,5,17329
2.53,3,24795
1.5,5,12206
1.01,4,5107
2.02,4,28469
2.09,5,40503
2.02,5,22984
1.2,5,7966
2.5,4,40046
1.51,5,24608
2.08,4,20379
1.12,4,4914
1.54,5,9600
1.04,5,8207
1.0,1,4844
1.01,5,6587
1.08,2,6426
0.9,3,5480
1.5,4,14592
1.06,4,4878
1.03,4,6809
1.12,2,8189
1.03,4,6487
1.02,4,10029
2.05,4,27181
0.9,1,4447
0.91,4,3710
0.79,4,3432
2.14,5,33956
2.11,5,31200
1.01,4,5886
1.5,4,11052
1.04,5,6990
2.02,3,37083
1.6,5,16575
1.05,5,8436
1.12,5,6309
1.03,4,8437
0.9,1,4537
2.02,4,46666
1.21,5,14691
1.06,5,9547
1.09,4,6438
0.9,3,3972
1.12,5,8394
1.3,5,12098
2.03,4,16693
1.01,4,5967
2.02,3,25804
0.93,4,4513
1.27,5,6118
1.06,5,8143
1.1,4,5817
1.72,4,17578
1.51,4,16716
0.76,5,3577
1.02,5,5934
1.5,4,9250
0.91,5,4922
1.0,3,5625
0.77,5,3996
1.21,5,12230
1.0,3,8903
1.26,3,11452
0.77,4,3166
1.56,5,13628
1.62,5,14777
1.14,5,10602
2.15,5,28837
1.0,4,7350
1.2,4,6591
0.9,4,4637
2.01,5,22373
1.1,5,5370
1.5,4,8695
1.0,3,5546
1.02,4,6407
1.52,3,13155
0.9,4,4588
1.24,5,10006
1.52,5,17914
1.07,2,8456
0.81,5,3413
2.03,5,26148
2.62,5,31254
1.21,3,5452
2.03,4,39605
1.58,2,11110
1.06,5,11837
2.01,4,27136
0.9,4,5331
1.24,4,6134
1.07,5,7441
1.01,3,4553
2.68,5,23354
1.01,5,12065
1.11,2,6395
1.05,2,5697
1.28,4,11214
1.01,5,7014
1.22,5,6867
1.2,5,8040
1.11,5,4709
0.76,4,3891
1.19,4,7989
1.14,5,5158
0.82,3,2840
1.2,3,6192
2.23,5,41823
1.01,4,6083
1.4,5,15134
2.02,4,28648
1.19,4,5956
2.02,5,17392
1.16,4,8361
1.3,4,6446
0.81,5,4493
2.17,4,24600
1.51,4,12546
1.53,2,12093
1.07,5,7286
2.01,4,33665
1.15,5,5372
2.08,4,19781
2.01,3,25796
1.35,5,10639
2.08,5,25210
2.09,4,38484
1.14,5,9074
0.91,4,4370
1.5,1,8999
0.81,4,3544
2.0,3,20000
0.82,5,4113
1.02,5,8335
1.03,5,8284
1.29,4,10565
1.22,5,6398
2.07,4,18945
1.06,5,6062
2.64,5,35856
2.32,5,32502
1.14,5,9079
1.5,4,9987
0.78,5,2652
0.9,1,4220
1.02,4,7724
1.04,5,5145
1.01,5,5812
1.5,4,12723
0.91,5,5261
0.91,4,4523
1.03,5,7119
1.11,5,7473
2.08,4,17469
0.83,4,3515
0.94,4,4488
1.17,5,6324
1.69,5,13534
0.83,2,4009
1.0,3,8401
0.76,4,4125
1.04,2,10625
1.21,4,6679
1.3,4,13329
1.61,3,11422
2.02,3,19940
1.01,4,7439
0.91,5,4199
2.0,3,20688
1.63,2,14261
1.54,5,12227
1.01,5,5582
0.75,4,4889
2.17,4,35522
1.72,5,38080
1.03,5,5411
2.28,5,35588
1.08,5,6855
1.41,4,11298
1.27,4,5953
1.21,4,5245
1.03,3,5526
0.75,1,2967
1.04,5,6529
0.77,4,2830
1.14,5,8017
2.0,5,27835
1.02,4,4813
1.05,5,7639
2.01,4,21524
2.01,3,16737
1.34,4,10197
1.16,5,9432
1.29,5,7513
0.87,2,4188
1.23,5,5840
1.1,2,11227
2.01,5,26069
1.05,4,5236
0.9,5,4770
1.01,5,5387
2.46,4,21865
1.11,3,5602
2.54,4,30286
1.25,5,10441
0.77,4,3350
1.61,5,11826
1.21,4,7610
0.8,5,2906
0.91,4,5034
0.9,4,3443
1.04,4,4791
2.03,3,15339
1.0,4,8555
1.51,3,8975
1.04,4,10161
1.15,4,6110
1.03,4,8601
0.9,4,3327
1.0,5,5170
1.06,5,7275
0.92,5,3580
1.0,3,6937
1.57,5,10209
2.36,5,22441
1.25,5,6206
1.18,5,11573
1.59,5,10832
1.2,4,6287
1.58,5,12975
1.52,3,11731
1.06,5,8323
2.02,5,59282
0.97,4,5136
1.51,5,16337
0.76,4,2668
1.01,4,7698
0.75,5,3525
0.91,4,4188
1.63,2,12910
1.01,4,5220
1.65,5,15422
2.27,5,26443
2.31,5,19872
0.9,4,4063
2.55,5,23255
1.4,4,25266
0.89,4,5085
2.01,5,21064
1.55,5,12575
1.2,4,8812
0.92,4,5330
1.13,4,6812
1.0,5,5639
2.08,5,28990
1.02,4,4102
1.07,2,7577
2.62,5,75630
1.01,4,7278
1.0,4,5978
2.04,4,24886
1.0,1,4798
1.02,4,5571
1.32,5,7095
0.9,4,3748
0.94,4,6088
1.23,4,14521
1.18,4,7666
1.01,3,4608
2.34,2,59538
1.04,5,5528
1.13,5,6246
0.81,4,2936
2.7,4,35472
1.05,5,5407
0.91,4,4012
0.92,5,4561
1.68,5,13375
2.17,4,34463
2.08,4,28010
0.88,5,3328
2.51,4,21656
1.23,3,5418
0.91,5,3726
1.2,4,8317
2.05,4,21384
1.54,4,10526
1.01,4,4747
1.11,5,7917
2.39,4,32488
1.1,2,7468
0.94,4,4518
2.01,3,20065
1.51,5,12291
1.29,5,13530
1.0,3,4594
1.24,2,10946
2.03,4,26702
1.63,5,14233
1.27,5,6444
1.01,5,7290
0.9,3,4054
0.82,4,2583
1.0,4,6883
1.07,5,7406
0.9,4,4543
2.41,5,19302
0.75,3,2923
1.51,4,17689
1.13,2,6970
1.04,5,6112
1.08,5,4785
0.9,4,4099
1.53,5,11678
1.21,4,9484
1.31,5,9219
1.01,4,4905
1.1,4,10701
1.06,1,4528
1.34,5,12008
1.12,5,6317
1.15,5,5930
2.08,5,25720
1.19,5,7651
1.18,4,4664
1.03,4,6733
0.75,3,2953
1.09,4,7598
0.79,5,2687
1.51,4,14938
1.04,5,4941
1.01,4,6204
1.05,5,6316
1.74,4,18237
0.8,4,3071
1.28,5,6984
2.01,4,26484
1.18,4,6261
1.5,4,8291
1.27,4,7031
2.0,4,14541
1.01,3,6515
0.9,1,4291
1.06,4,5293
1.04,5,4801
1.52,4,14066
1.5,4,12022
1.01,5,4943
1.51,5,9966
1.51,1,12829
1.08,4,7230
0.85,3,2905
1.24,2,9354
0.77,2,3089
0.91,4,3710
0.91,4,4916
2.02,5,16735
0.9,5,4011
1.06,4,9680
1.18,3,6568
1.23,5,13034
1.0,4,7403
1.02,5,8658
0.93,4,3838
1.03,2,7619
1.02,5,4932
1.01,4,5627
1.02,5,9761
1.64,4,10100
1.12,4,5027
2.12,5,28840
1.23,3,6165
1.09,4,10663
1.1,4,6392
1.15,4,5587
1.01,5,4370
2.01,3,35124
0.91,4,3852
1.0,3,6030
1.02,4,8387
2.01,3,18988
0.9,1,3920
1.23,4,7799
2.01,3,30095
2.01,3,16731
2.04,5,18490
1.37,5,11754
1.58,5,12334
0.99,4,5112
1.01,3,7163
0.9,3,3977
2.31,3,18329
0.9,3,4027
1.09,4,5551
1.03,4,10327
1.61,4,13047
2.16,5,31349
1.01,3,5918
1.04,5,6116
1.66,4,12818
2.21,5,40427
0.76,4,2396
2.01,3,20031
0.78,4,3210
1.31,5,9331
1.03,5,7990
1.85,4,19543
0.82,5,2932
1.2,5,9625
1.24,5,7163
2.01,5,32966
2.16,3,26353
2.1,4,18436
1.0,3,5405
1.2,4,12253
1.53,5,10171
0.78,5,3343
0.81,5,4751
2.43,5,25897
1.21,4,5726
1.22,5,11111
1.51,3,17203
0.9,4,4435
0.78,5,3056
2.02,5,30184
0.91,4,3525
0.9,5,4856
1.14,5,9890
1.32,4,6810
1.53,4,17086
0.89,5,4127
1.03,5,9798
1.2,4,5226
1.53,3,15984
1.11,5,5535
1.51,4,9986
0.9,4,4921
2.0,4,49199
1.51,3,11505
1.02,4,8627
0.75,4,3718
1.06,5,11209
1.02,4,5709
0.9,4,4286
0.9,4,4230
1.12,5,4870
0.9,4,3489
1.01,4,5422
1.19,5,7221
1.13,5,9885
1.05,4,5671
1.51,3,10819
1.14,4,8131
1.04,5,8168
1.15,4,7175
0.93,4,5048
1.51,4,10319
1.55,5,11150
1.26,5,10597
1.24,2,15026
2.25,5,31724
2.2,5,26541
1.71,5,12837
1.04,5,8269
2.02,5,21544
1.13,2,11721
0.82,5,4135
2.23,5,33675
2.14,4,37855
1.1,5,8741
1.09,5,7796
0.9,4,4795
1.23,5,6435
2.15,4,31340
0.86,1,3418
0.99,4,4863
1.04,5,5059
2.01,5,25375
2.02,1,17242
0.9,4,4004
1.01,1,4405
1.0,5,4648
1.35,4,6573
0.8,4,3209
0.9,4,4043
2.33,4,67368
1.1,4,5524
1.11,5,5081
1.04,5,5719
0.75,5,3844
1.41,5,16545
1.13,5,7687
1.06,5,8344
1.2,4,8264
1.02,4,6991
1.01,4,4212
0.8,4,4408
2.17,5,51486
2.01,4,34305
0.9,1,3733
1.57,2,11040
0.91,3,3520
1.36,4,22649
0.9,3,4400
1.5,3,8920
0.79,4,3798
1.15,4,8493
1.0,4,5894
2.67,5,39328
0.76,5,3033
1.32,5,7162
2.38,4,22166
1.2,4,6672
0.9,5,4008
1.9,5,16989
2.01,4,22027
1.01,3,5918
2.02,4,18236
1.02,4,8317
2.01,4,20668
1.16,2,10907
1.0,4,7725
1.0,3,6748
1.2,2,11530
1.04,4,5180
1.04,4,4426
1.01,5,5478
1.71,5,14387
1.01,4,6047
2.01,4,22389
1.08,5,7137
1.08,5,5534
1.14,5,5863
0.75,4,3005
1.01,4,7597
0.8,5,3972
0.8,4,3603
1.01,3,5073
2.3,5,19787
2.02,4,19606
1.12,5,7267
1.03,4,8220
0.91,4,4304
0.92,4,3887
1.01,5,5702
2.05,5,28519
1.54,3,13758
1.0,4,6386
2.12,5,17068
2.01,5,17674
1.24,4,6104
1.02,4,10641
1.03,3,5367
2.23,4,27562
0.8,5,7032
2.03,5,15895
1.08,5,6769
2.02,5,20499
2.13,5,37622
1.0,5,6999
1.3,4,7835
2.01,4,16158
1.2,4,6126
1.49,3,9849
1.15,5,5534
1.59,5,17929
1.39,4,12614
0.79,4,2945
0.85,4,3063
1.57,5,10964
1.11,5,11074
0.9,5,7268
0.9,4,4694
0.84,5,3603
0.79,4,3539
1.25,4,9587
1.35,5,10078
1.52,4,11093
1.21,5,9019
1.63,5,18179
1.5,4,8475
2.08,4,28055
0.76,3,3304
1.09,5,7266
2.01,4,20267
1.01,3,4618
0.78,5,3671
0.8,3,3365
1.01,3,5541
1.03,5,4800
1.5,3,9960
2.01,4,21741
1.05,2,7805
1.03,5,6557
2.12,4,22606
1.08,5,9545
1.04,4,7049
0.92,4,4685
2.31,5,23506
1.23,4,6848
1.05,2,8022
1.03,4,6164
2.15,5,23123
1.0,3,5013
2.11,4,27399
2.41,4,33025
1.73,5,23837
0.96,1,3341
2.02,4,15895
2.28,4,30830
1.5,5,10725
2.01,5,21872
1.52,4,16630
1.08,4,7963
1.23,4,6997
2.09,5,20622
2.12,4,18469
1.06,2,5697
2.0,4,16605
1.01,3,5860
2.16,4,31947
1.5,4,12532
0.9,4,5994
1.01,5,6871
1.04,4,4948
1.33,4,6656
1.5,1,15892
0.8,4,3005
1.0,4,7466
1.04,5,7035
2.02,5,25798
1.33,5,7186
0.93,4,4111
0.9,3,4206
2.01,4,19109
1.15,2,10987
1.54,4,8788
0.83,5,3371
2.01,5,32658
1.04,1,4551
0.86,2,4042
1.01,4,5220
1.21,2,14442
2.0,4,19213
1.2,4,6898
1.08,4,6063
